objectid,name,nguid,local_id,source_datadesc,source_datasetid,source_featureid,source_originator,loaddate,county_fips,county_id,shape_Length,shape_Area
64,Bartholomew County,urn:emergency:uid:gis:A2:0:BARTHOLOMEW.IN.US,0,COUNTY BOUNDARY,BARTHOLOMEW_COUNTY_BOUNDARY.SHP,0,BARTHOLOMEW COUNTY,2022/09/30 00:00:00+00,18005,3,138954.236183125,1060056085.48364
65,Benton County,urn:emergency:uid:gis:A2:1:BENTON.IN.US,1,COUNTY BOUNDARY,BENTONCOUNTYBOUNDARY,1,BENTON COUNTY,2021/11/03 00:00:00+00,18007,4,130783.822194506,1052005164.83578
66,Cass County,urn:emergency:uid:gis:A2:1:CASS.IN.US,1,COUNTY BOUNDARY,CASSCOUNTYBOUNDARY,1,CASS COUNTY,2021/11/03 00:00:00+00,18017,9,147608.002270609,1073544066.38631
67,Clay County,urn:emergency:uid:gis:A2:1:CLAY.IN.US,1,COUNTY BOUNDARY,UDXF6759_POLYGON,1,CLAY COUNTY,2022/08/05 00:00:00+00,18021,11,148317.696177583,932359724.731116
68,Crawford County,urn:emergency:uid:gis:A2:0:CRAWFORD.IN.US,0,COUNTY BOUNDARY,UDXF21455_POLYGON,1,CRAWFORD COUNTY,2022/09/01 00:00:00+00,18025,13,181018.051807182,799244740.045329
69,Clinton County,urn:emergency:uid:gis:A2:0:CLINTON.IN.US,0,COUNTY BOUNDARY,CLINTON_BOUNDARY_POLYGON.SHP,0,CLINTON COUNTY,2021/11/08 00:00:00+00,18023,12,133541.730633635,1058568929.3687
70,Dearborn County,urn:emergency:uid:gis:A2:0:DEARBORN.IN.US,0,COUNTY BOUNDARY,DC_BOUNDARY.SHP,0,DEARBORN COUNTY,2022/08/19 00:00:00+00,18029,15,137149.968924845,796159325.553527
71,Decatur County,urn:emergency:uid:gis:A2:0:DECATUR.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY.SHP,0,DECATUR COUNTY,2021/11/02 00:00:00+00,18031,16,128086.599445596,966209953.565329
72,Floyd County,urn:emergency:uid:gis:A2:18043:FLOYD.IN.US,18043,COUNTY BOUNDARY,FLOYDCOUNTYBOUNDARY,1,FLOYD COUNTY,2021/11/03 00:00:00+00,18043,22,97120.4336527162,386546745.021442
73,Grant County,urn:emergency:uid:gis:A2:1:GRANT.IN.US,1,COUNTY BOUNDARY,GRANTCOUNTYBOUNDARY,1,GRANT COUNTY,2021/11/03 00:00:00+00,18053,27,131540.431815598,1074278111.20517
74,Hendricks County,urn:emergency:uid:gis:A2:1:HENDRICKS.IN.US,1,COUNTY BOUNDARY,CNTYBOUNDRY.SHP,0,HENDRICKS COUNTY,2021/11/01 00:00:00+00,18063,32,136693.53320837,1058242744.83447
75,Harrison County,urn:emergency:uid:gis:A2:0:HARRISON.IN.US,0,COUNTY BOUNDARY,HARRISONCOUNTYOUTLINE.SHP,0,HARRISON COUNTY,2021/11/02 00:00:00+00,18061,31,193546.11835585,1257800510.50807
76,Howard County,urn:emergency:uid:gis:A2:0:HOWARD.IN.US,0,COUNTY BOUNDARY,COUNTYBOUNDARY.SHP,0,HOWARD COUNTY,2022/08/16 00:00:00+00,18067,34,128479.823766906,760588953.533122
77,Huntington County,urn:emergency:uid:gis:A2:0:HUNTINGTON.IN.US,0,COUNTY BOUNDARY,COUNTY_BOUNDARY.SHP,0,HUNTINGTON COUNTY,2021/11/01 00:00:00+00,18069,35,129506.4882423,1004317128.64606
78,Johnson County,urn:emergency:uid:gis:A2:0:JOHNSON.IN.US,0,COUNTY BOUNDARY,JOHNSONCOUNTYBOUNDARY.SHP,0,JOHNSON COUNTY,2022/08/18 00:00:00+00,18081,41,116469.475322412,833267109.903419
