fips_county,county_name.x,NAME,year,ENROLL,TOTALREV,TFEDREV,FEDRCOMP,FEDRHAND,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRHAND,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,FEDRSPEC,STRSPEC,CSA,CBSA,NCESID,county_name.y
029,Dearborn,LAWRENCEBURG COMM SCH CORP,2000,1606,14336,469,245,0,150,74,5672,4540,8,8,1116,8195,7357,7357,0,1,0,416,421,14721,11411,6900,2448,6666,4719,1752,4064,318,376,277,803,2290,681,1068,2207,35,75,0,47,100,3.3,1.7,39.6,31.7,57.2,51.3,0,2.9,6950,4296,1524,4151,2938,1091,2531,198,234,172,500,NA,NA,NA,NA,NA,Dearborn
029,Dearborn,SUNMAN-DEARBORN COMM CORP SCHOOL DIS,2000,4059,30352,1885,159,1363,212,151,17960,14569,193,442,2756,10506,7936,7936,0,436,60,1340,734,29751,25717,15825,5023,15277,11093,3606,9178,1588,720,489,1375,5006,1262,824,2881,329,7329,0,272,100,6.2,0.5,59.2,48,34.6,26.1,1.6,4.4,6294,3899,1237,3764,2733,888,2261,391,177,120,339,NA,NA,NA,NA,NA,Dearborn
031,Decatur,GREENSBURG COMMUNITY SCHOOLS,2000,2055,15566,356,0,145,151,60,7269,5665,31,38,1535,7940,5539,5539,0,1484,0,712,205,14502,13373,8090,2942,8536,6064,2239,4127,232,156,425,935,2379,710,992,137,0,0,0,0,100,2.3,0,46.7,36.4,51,35.6,9.5,4.6,6502,3937,1432,4154,2951,1090,2008,113,76,207,455,NA,NA,NA,NA,NA,Decatur
031,Decatur,DECATUR COUNTY COMMUNITY SCHOOLS,2000,2232,16316,467,198,0,177,92,9788,8110,31,217,1430,6060,4853,4853,0,231,200,646,130,15710,14283,8274,3243,9150,6419,2548,4347,445,340,382,714,2466,786,496,850,81,1460,0,159,100,2.9,1.2,60,49.7,37.1,29.7,2.6,4,6325,3707,1453,4099,2876,1142,1948,199,152,171,320,NA,NA,NA,NA,NA,Decatur
033,De Kalb,GARRETT-KEYSER-BUTLER CMNTY SCHOOL C,2000,1528,14057,1378,133,0,161,1084,7104,5840,25,34,1205,5574,3584,3584,0,163,1,429,1397,13880,11877,6982,2438,6977,4727,1715,4203,382,360,458,556,2447,697,829,1160,14,215,0,182,100,9.8,0.9,50.5,41.5,39.7,25.5,1.2,3.1,7643,4569,1596,4566,3094,1122,2751,250,236,300,364,NA,NA,NA,NA,NA,De Kalb
033,De Kalb,DEKALB CNTY CENTRAL UNITED SCHOOL DI,2000,4049,31204,457,159,0,193,105,15161,12498,89,92,2482,15586,11574,11574,0,530,59,1491,1932,30250,25196,15169,6921,15509,10353,4779,8638,1072,750,494,1374,4948,1049,1407,3617,30,1128,0,52,100,1.5,0.5,48.6,40.1,49.9,37.1,1.9,4.8,6208,3746,1709,3830,2557,1180,2133,265,185,122,339,NA,NA,NA,NA,NA,De Kalb
033,De Kalb,DEKALB CO EASTERN COMM SCHOOL DIST,2000,1479,14353,2533,57,2143,95,238,5827,4583,13,52,1179,5993,5134,5134,0,248,1,324,286,14090,11645,7070,2619,7501,5141,1946,3540,261,208,338,527,2206,604,1613,806,26,0,0,0,100,17.7,0.4,40.6,31.9,41.8,35.8,1.7,2.3,7722,4780,1771,5072,3476,1316,2394,176,141,229,356,NA,NA,NA,NA,NA,De Kalb
035,Delaware,DELAWARE COMMUNITY SCHOOL CORP,2000,2938,22150,772,175,280,199,118,13176,10877,71,385,1843,8202,7160,7160,0,3,0,778,261,21065,17141,11094,3967,10326,7429,2728,5928,673,418,359,1160,3318,887,1015,2899,10,75,0,258,100,3.5,0.8,59.5,49.1,37,32.3,0,3.5,5775,3776,1350,3515,2529,929,2018,229,142,122,395,NA,NA,NA,NA,NA,Delaware
035,Delaware,HARRISON-WASHINGTON CMNTY SCH CORP,2000,970,8124,347,106,132,79,30,4236,3433,21,98,684,3540,2293,2293,0,3,0,384,860,7200,6209,4013,1249,3666,2702,862,2183,201,190,247,336,1209,360,575,408,8,0,0,0,100,4.3,1.3,52.1,42.3,43.6,28.2,0,4.7,6347,4137,1288,3779,2786,889,2251,207,196,255,346,NA,NA,NA,NA,NA,Delaware
035,Delaware,LIBERTY-PERRY CONS SCH CORP,2000,1155,8963,191,70,0,86,35,5396,4527,19,137,713,3375,2823,2823,0,0,144,354,54,8536,7221,4373,1803,4198,2903,1228,2599,439,172,189,513,1286,424,327,988,0,0,0,0,100,2.1,0.8,60.2,50.5,37.7,31.5,1.6,3.9,6198,3786,1561,3635,2513,1063,2250,380,149,164,444,NA,NA,NA,NA,NA,Delaware
