County,year,population
Montgomery,2002,37782
Montgomery,2003,37634
Montgomery,2004,37795
Montgomery,2005,38105
Montgomery,2006,38040
Montgomery,2007,38172
Montgomery,2008,38204
Montgomery,2009,38180
Montgomery,2010,38096
Morgan,2000,66838
Morgan,2001,66884
Morgan,2002,67266
Morgan,2003,67729
Morgan,2004,67795
Morgan,2005,68037
Morgan,2006,68308
Morgan,2007,68354
Morgan,2008,68964
Morgan,2009,68583
Morgan,2010,69061
Newton,2000,14525
Newton,2001,14358
Newton,2002,14343
Newton,2003,14446
Newton,2004,14386
Newton,2005,14485
Newton,2006,14326
Newton,2007,14374
Newton,2008,14348
Newton,2009,14207
Newton,2010,14243
Noble,2000,46640
Noble,2001,47110
Noble,2002,46884
Noble,2003,46917
Noble,2004,46996
Noble,2005,47292
Noble,2006,47470
Noble,2007,47419
Noble,2008,47561
Noble,2009,47574
Noble,2010,47541
Ohio,2000,5582
Ohio,2001,5633
Ohio,2002,5735
Ohio,2003,5779
Ohio,2004,5868
Ohio,2005,5943
Ohio,2006,6022
Ohio,2007,5992
Ohio,2008,6069
Ohio,2009,6134
Ohio,2010,6119
Orange,2000,19316
Orange,2001,19373
Orange,2002,19439
Orange,2003,19622
Orange,2004,19624
Orange,2005,19744
Orange,2006,19666
Orange,2007,19868
Orange,2008,19837
Orange,2009,19931
Orange,2010,19800
Owen,2000,21837
Owen,2001,21954
Owen,2002,22079
Owen,2003,22321
Owen,2004,22190
Owen,2005,21975
Owen,2006,21871
Owen,2007,21838
Owen,2008,21763
Owen,2009,21642
Owen,2010,21572
Parke,2000,17179
Parke,2001,17202
Parke,2002,17274
Parke,2003,17515
Parke,2004,17460
Parke,2005,17396
Parke,2006,17376
Parke,2007,17449
Parke,2008,17488
Parke,2009,17326
Parke,2010,17332
Perry,2000,18865
Perry,2001,18893
Perry,2002,18903
Perry,2003,18963
Perry,2004,19148
Perry,2005,19260
Perry,2006,19202
Perry,2007,19379
Perry,2008,19340
Perry,2009,19331
Perry,2010,19327
Pike,2000,12826
Pike,2001,12905
Pike,2002,12984
Pike,2003,12970
Pike,2004,13047
Pike,2005,12879
Pike,2006,13016
Pike,2007,13047
Pike,2008,13047
Pike,2009,12836
Pike,2010,12831
Porter,2000,147137
Porter,2001,148372
Porter,2002,149992
Porter,2003,151731
Porter,2004,153664
Porter,2005,156024
Porter,2006,158595
Porter,2007,160835
Porter,2008,162538
Porter,2009,163572
Porter,2010,164592
Posey,2000,27070
Posey,2001,26933
Posey,2002,26908
Posey,2003,26736
Posey,2004,26664
Posey,2005,26488
Posey,2006,26348
Posey,2007,26229
Posey,2008,26080
Posey,2009,25941
Posey,2010,25903
Pulaski,2000,13605
Pulaski,2001,13627
Pulaski,2002,13606
Pulaski,2003,13634
Pulaski,2004,13667
Pulaski,2005,13682
Pulaski,2006,13713
Pulaski,2007,13724
Pulaski,2008,13646
Pulaski,2009,13548
Pulaski,2010,13351
Putnam,2000,36180
Putnam,2001,36382
Putnam,2002,36525
Putnam,2003,37145
Putnam,2004,37516
Putnam,2005,37780
Putnam,2006,37768
Putnam,2007,38189
Putnam,2008,38325
Putnam,2009,38052
Putnam,2010,37906
Randolph,2000,27363
Randolph,2001,27166
Randolph,2002,26989
Randolph,2003,26763
Randolph,2004,26582
Randolph,2005,26517
Randolph,2006,26415
Randolph,2007,26223
Randolph,2008,26300
Randolph,2009,26240
Randolph,2010,26133
Ripley,2000,26654
Ripley,2001,27130
Ripley,2002,27421
Ripley,2003,27615
Ripley,2004,27849
Ripley,2005,28040
Ripley,2006,28352
Ripley,2007,28361
Ripley,2008,28605
Ripley,2009,28716
Ripley,2010,28814
Rush,2000,18194
Rush,2001,18145
Rush,2002,18034
Rush,2003,18090
Rush,2004,17869
Rush,2005,17826
Rush,2006,17723
Rush,2007,17756
Rush,2008,17543
Rush,2009,17461
Rush,2010,17358
St Joseph,2000,265845
St Joseph,2001,265502
St Joseph,2002,265090
St Joseph,2003,264762
St Joseph,2004,264541
St Joseph,2005,264863
St Joseph,2006,265496
St Joseph,2007,266045
St Joseph,2008,267282
St Joseph,2009,266827
St Joseph,2010,266961
Scott,2000,23049
Scott,2001,23332
Scott,2002,23370
Scott,2003,23638
Scott,2004,23626
Scott,2005,23889
Scott,2006,23982
Scott,2007,24137
Scott,2008,24089
Scott,2009,24165
Scott,2010,24174
Shelby,2000,43479
Shelby,2001,43746
Shelby,2002,43577
Shelby,2003,43385
Shelby,2004,43488
Shelby,2005,43482
Shelby,2006,43812
Shelby,2007,44086
Shelby,2008,44345
Shelby,2009,44551
Shelby,2010,44391
Spencer,2000,20432
Spencer,2001,20465
Spencer,2002,20422
Spencer,2003,20529
Spencer,2004,20605
Spencer,2005,20896
Spencer,2006,20977
Spencer,2007,21032
Spencer,2008,20978
